Test on Training set: wine-training with k = 3 and distance_metric = euclidean
0 : Predicted Class:  1 , Actual Class:  1
1 : Predicted Class:  2 , Actual Class:  2
2 : Predicted Class:  2 , Actual Class:  2
3 : Predicted Class:  1 , Actual Class:  1
4 : Predicted Class:  1 , Actual Class:  1
5 : Predicted Class:  2 , Actual Class:  2
6 : Predicted Class:  1 , Actual Class:  1
7 : Predicted Class:  2 , Actual Class:  2
8 : Predicted Class:  2 , Actual Class:  2
9 : Predicted Class:  1 , Actual Class:  1
10 : Predicted Class:  1 , Actual Class:  1
11 : Predicted Class:  3 , Actual Class:  3
12 : Predicted Class:  3 , Actual Class:  3
13 : Predicted Class:  3 , Actual Class:  3
14 : Predicted Class:  1 , Actual Class:  1
15 : Predicted Class:  2 , Actual Class:  2
16 : Predicted Class:  2 , Actual Class:  2
17 : Predicted Class:  1 , Actual Class:  1
18 : Predicted Class:  2 , Actual Class:  2
19 : Predicted Class:  2 , Actual Class:  2
20 : Predicted Class:  2 , Actual Class:  2
21 : Predicted Class:  1 , Actual Class:  1
22 : Predicted Class:  2 , Actual Class:  2
23 : Predicted Class:  2 , Actual Class:  2
24 : Predicted Class:  2 , Actual Class:  2
25 : Predicted Class:  3 , Actual Class:  3
26 : Predicted Class:  3 , Actual Class:  3
27 : Predicted Class:  2 , Actual Class:  2
28 : Predicted Class:  3 , Actual Class:  3
29 : Predicted Class:  2 , Actual Class:  2
30 : Predicted Class:  1 , Actual Class:  1
31 : Predicted Class:  3 , Actual Class:  3
32 : Predicted Class:  1 , Actual Class:  1
33 : Predicted Class:  2 , Actual Class:  2
34 : Predicted Class:  2 , Actual Class:  2
35 : Predicted Class:  3 , Actual Class:  3
36 : Predicted Class:  3 , Actual Class:  3
37 : Predicted Class:  1 , Actual Class:  1
38 : Predicted Class:  2 , Actual Class:  2
39 : Predicted Class:  1 , Actual Class:  1
40 : Predicted Class:  2 , Actual Class:  2
41 : Predicted Class:  2 , Actual Class:  2
42 : Predicted Class:  1 , Actual Class:  1
43 : Predicted Class:  3 , Actual Class:  3
44 : Predicted Class:  2 , Actual Class:  2
45 : Predicted Class:  1 , Actual Class:  1
46 : Predicted Class:  1 , Actual Class:  1
47 : Predicted Class:  1 , Actual Class:  1
48 : Predicted Class:  3 , Actual Class:  3
49 : Predicted Class:  1 , Actual Class:  1
50 : Predicted Class:  3 , Actual Class:  3
51 : Predicted Class:  1 , Actual Class:  1
52 : Predicted Class:  3 , Actual Class:  3
53 : Predicted Class:  2 , Actual Class:  2
54 : Predicted Class:  2 , Actual Class:  2
55 : Predicted Class:  1 , Actual Class:  1
56 : Predicted Class:  1 , Actual Class:  1
57 : Predicted Class:  2 , Actual Class:  2
58 : Predicted Class:  3 , Actual Class:  3
59 : Predicted Class:  3 , Actual Class:  3
60 : Predicted Class:  1 , Actual Class:  1
61 : Predicted Class:  2 , Actual Class:  2
62 : Predicted Class:  1 , Actual Class:  1
63 : Predicted Class:  2 , Actual Class:  2
64 : Predicted Class:  3 , Actual Class:  3
65 : Predicted Class:  3 , Actual Class:  3
66 : Predicted Class:  2 , Actual Class:  2
67 : Predicted Class:  3 , Actual Class:  3
68 : Predicted Class:  1 , Actual Class:  1
69 : Predicted Class:  2 , Actual Class:  2
70 : Predicted Class:  1 , Actual Class:  1
71 : Predicted Class:  3 , Actual Class:  3
72 : Predicted Class:  2 , Actual Class:  2
73 : Predicted Class:  3 , Actual Class:  3
74 : Predicted Class:  2 , Actual Class:  2
75 : Predicted Class:  2 , Actual Class:  2
76 : Predicted Class:  2 , Actual Class:  2
77 : Predicted Class:  1 , Actual Class:  1
78 : Predicted Class:  2 , Actual Class:  2
79 : Predicted Class:  2 , Actual Class:  2
80 : Predicted Class:  2 , Actual Class:  2
81 : Predicted Class:  3 , Actual Class:  3
82 : Predicted Class:  1 , Actual Class:  1
83 : Predicted Class:  1 , Actual Class:  1
84 : Predicted Class:  3 , Actual Class:  3
85 : Predicted Class:  3 , Actual Class:  3
86 : Predicted Class:  1 , Actual Class:  1
87 : Predicted Class:  3 , Actual Class:  3
88 : Predicted Class:  2 , Actual Class:  2
Training Prediction Accuracy: 89 / 89 = 1.0 , 100.0 %

Test on Test set: wine-test with k = 3 and distance_metric = euclidean
0 : Predicted Class:  3 , Actual Class:  3
1 : Predicted Class:  3 , Actual Class:  3
2 : Predicted Class:  3 , Actual Class:  3
3 : Predicted Class:  1 , Actual Class:  1
4 : Predicted Class:  1 , Actual Class:  1
5 : Predicted Class:  1 , Actual Class:  1
6 : Predicted Class:  2 , Actual Class:  2
7 : Predicted Class:  2 , Actual Class:  2
8 : Predicted Class:  1 , Actual Class:  1
9 : Predicted Class:  2 , Actual Class:  2
10 : Predicted Class:  3 , Actual Class:  2
11 : Predicted Class:  3 , Actual Class:  2
12 : Predicted Class:  3 , Actual Class:  3
13 : Predicted Class:  3 , Actual Class:  3
14 : Predicted Class:  1 , Actual Class:  1
15 : Predicted Class:  2 , Actual Class:  2
16 : Predicted Class:  3 , Actual Class:  3
17 : Predicted Class:  3 , Actual Class:  3
18 : Predicted Class:  1 , Actual Class:  1
19 : Predicted Class:  1 , Actual Class:  1
20 : Predicted Class:  3 , Actual Class:  3
21 : Predicted Class:  2 , Actual Class:  2
22 : Predicted Class:  2 , Actual Class:  2
23 : Predicted Class:  3 , Actual Class:  3
24 : Predicted Class:  2 , Actual Class:  2
25 : Predicted Class:  3 , Actual Class:  2
26 : Predicted Class:  2 , Actual Class:  2
27 : Predicted Class:  3 , Actual Class:  3
28 : Predicted Class:  2 , Actual Class:  2
29 : Predicted Class:  1 , Actual Class:  1
30 : Predicted Class:  2 , Actual Class:  2
31 : Predicted Class:  1 , Actual Class:  1
32 : Predicted Class:  2 , Actual Class:  2
33 : Predicted Class:  1 , Actual Class:  1
34 : Predicted Class:  2 , Actual Class:  2
35 : Predicted Class:  2 , Actual Class:  2
36 : Predicted Class:  2 , Actual Class:  2
37 : Predicted Class:  2 , Actual Class:  2
38 : Predicted Class:  2 , Actual Class:  2
39 : Predicted Class:  1 , Actual Class:  1
40 : Predicted Class:  2 , Actual Class:  2
41 : Predicted Class:  2 , Actual Class:  2
42 : Predicted Class:  3 , Actual Class:  3
43 : Predicted Class:  1 , Actual Class:  1
44 : Predicted Class:  2 , Actual Class:  2
45 : Predicted Class:  1 , Actual Class:  1
46 : Predicted Class:  3 , Actual Class:  3
47 : Predicted Class:  2 , Actual Class:  2
48 : Predicted Class:  2 , Actual Class:  2
49 : Predicted Class:  1 , Actual Class:  1
50 : Predicted Class:  3 , Actual Class:  3
51 : Predicted Class:  1 , Actual Class:  1
52 : Predicted Class:  1 , Actual Class:  1
53 : Predicted Class:  3 , Actual Class:  3
54 : Predicted Class:  3 , Actual Class:  3
55 : Predicted Class:  1 , Actual Class:  1
56 : Predicted Class:  1 , Actual Class:  1
57 : Predicted Class:  3 , Actual Class:  3
58 : Predicted Class:  1 , Actual Class:  1
59 : Predicted Class:  3 , Actual Class:  3
60 : Predicted Class:  3 , Actual Class:  3
61 : Predicted Class:  1 , Actual Class:  2
62 : Predicted Class:  2 , Actual Class:  2
63 : Predicted Class:  3 , Actual Class:  3
64 : Predicted Class:  2 , Actual Class:  2
65 : Predicted Class:  3 , Actual Class:  3
66 : Predicted Class:  3 , Actual Class:  3
67 : Predicted Class:  1 , Actual Class:  1
68 : Predicted Class:  1 , Actual Class:  1
69 : Predicted Class:  2 , Actual Class:  2
70 : Predicted Class:  2 , Actual Class:  2
71 : Predicted Class:  3 , Actual Class:  3
72 : Predicted Class:  2 , Actual Class:  2
73 : Predicted Class:  2 , Actual Class:  2
74 : Predicted Class:  1 , Actual Class:  1
75 : Predicted Class:  1 , Actual Class:  1
76 : Predicted Class:  1 , Actual Class:  1
77 : Predicted Class:  3 , Actual Class:  3
78 : Predicted Class:  1 , Actual Class:  1
79 : Predicted Class:  1 , Actual Class:  1
80 : Predicted Class:  2 , Actual Class:  2
81 : Predicted Class:  2 , Actual Class:  2
82 : Predicted Class:  3 , Actual Class:  3
83 : Predicted Class:  1 , Actual Class:  1
84 : Predicted Class:  2 , Actual Class:  2
85 : Predicted Class:  1 , Actual Class:  1
86 : Predicted Class:  1 , Actual Class:  1
87 : Predicted Class:  2 , Actual Class:  2
88 : Predicted Class:  1 , Actual Class:  1
Testing Prediction Accuracy: 85 / 89 = 0.9550561797752809 , 95.51 %

Training vs. Test difference: 100.0 % - 95.51 % = 4.49 %

